metric,0,1,2,3,4
solved_rate:MultiGrid-SixteenRooms-v0,0.88,0.98,1.0,1.0,0.9
test_returns:MultiGrid-SixteenRooms-v0,0.55312,0.80372,0.80134004,0.78271997,0.57894003
solved_rate:MultiGrid-SixteenRoomsFewerDoors-v0,0.69,0.06,0.44,1.0,0.25
test_returns:MultiGrid-SixteenRoomsFewerDoors-v0,0.42246,0.042460002,0.2603,0.77202004,0.134
solved_rate:MultiGrid-Labyrinth-v0,0.0,0.97,0.93,0.0,0.85
test_returns:MultiGrid-Labyrinth-v0,0.0,0.6401,0.5388,0.0,0.51138
solved_rate:MultiGrid-Labyrinth2-v0,1.0,0.89,0.66,0.0,0.77
test_returns:MultiGrid-Labyrinth2-v0,0.62369996,0.53812003,0.34472,0.0,0.47086003
solved_rate:MultiGrid-Maze-v0,1.0,0.14,0.97,0.18,0.42
test_returns:MultiGrid-Maze-v0,0.64706004,0.08746,0.6756401,0.107999995,0.19570002
solved_rate:MultiGrid-Maze2-v0,0.98,0.96,0.43,0.41,0.93
test_returns:MultiGrid-Maze2-v0,0.61758,0.6227401,0.24192001,0.20979999,0.60098
solved_rate:MultiGrid-Maze3-v0,0.79,1.0,0.82,0.29,0.87
test_returns:MultiGrid-Maze3-v0,0.50238,0.65772,0.57748,0.13951999,0.55430007
solved_rate:MiniGrid-SimpleCrossingS11N5-v0,0.88,0.71,0.82,0.97,0.96
test_returns:MiniGrid-SimpleCrossingS11N5-v0,0.72640496,0.61060953,0.6829546,0.8824173,0.859903
solved_rate:MiniGrid-FourRooms-v0,0.54,0.55,0.65,0.7,0.76
test_returns:MiniGrid-FourRooms-v0,0.38844,0.41023004,0.43616,0.48048997,0.48082
solved_rate:MultiGrid-SmallCorridor-v0,0.84,1.0,0.95,0.74,0.94
test_returns:MultiGrid-SmallCorridor-v0,0.65044004,0.8378001,0.76666,0.52272,0.68601996
solved_rate:MultiGrid-LargeCorridor-v0,0.3,0.97,0.91,0.78,1.0
test_returns:MultiGrid-LargeCorridor-v0,0.21089794,0.73036736,0.6834796,0.6664999,0.7649898
solved_rate:MultiGrid-PerfectMazeMedium-v0,0.73,0.5,0.64,0.36,0.86
test_returns:MultiGrid-PerfectMazeMedium-v0,0.4898265,0.37120408,0.40261224,0.23239796,0.5586939
